Inconsistent Star Records: 
The following [6796] records are dropped because same [name] [birthYear] exist in the database
Star Details - Name:Catherine Allegret, BirthYear:.
Star Details - Name:Deanna Durbin, BirthYear:1921.
Star Details - Name:Marguerite DeLaMotte, BirthYear:1903.
Star Details - Name:Lisa Pelikan, BirthYear:.
Star Details - Name:Milly Vitale, BirthYear:1928.
Star Details - Name:Gail Russell, BirthYear:1924.
Star Details - Name:Marthe Keller, BirthYear:1945.
Star Details - Name:Douglas `Wrong Way' Corrigan, BirthYear:1907.
Star Details - Name:Warren Hillman, BirthYear:.
Star Details - Name:Ferdinand vonAlten, BirthYear:.
Star Details - Name:Susanna Foster, BirthYear:1924.
Star Details - Name:Leo Gorcey, BirthYear:1915.
Star Details - Name:John Savage, BirthYear:1953.
Star Details - Name:Harcourt Williams, BirthYear:1880.
Star Details - Name:Glenn Anders, BirthYear:1889.
Star Details - Name:Virginia Penta, BirthYear:.
Star Details - Name:Ray Charles, BirthYear:1930.
Star Details - Name:Richard Jordan, BirthYear:1938.
Star Details - Name:Frank McRae, BirthYear:.
Star Details - Name:Henry Sanada, BirthYear:.
Star Details - Name:Eddie Barth, BirthYear:.
Star Details - Name:Paul Smith, BirthYear:.
Star Details - Name:Michael Hordern, BirthYear:1911.
Star Details - Name:Michael Moriarty, BirthYear:.
Star Details - Name:Markie Post, BirthYear:.
Star Details - Name:Catherine Burns, BirthYear:1945.
Star Details - Name:Michael Keaton, BirthYear:1952.
Star Details - Name:Frank Lawton, BirthYear:1904.
Star Details - Name:Rick Nelson, BirthYear:1940.
Star Details - Name:Lucile Watson, BirthYear:1879.
Star Details - Name:Ken Wahl, BirthYear:1956.
Star Details - Name:Eric Chitty, BirthYear:.
Star Details - Name:Bonnie Bittner, BirthYear:.
Star Details - Name:Tony Owen, BirthYear:.
Star Details - Name:Michael Margotta, BirthYear:.
Star Details - Name:Judd Nelson, BirthYear:1959.
Star Details - Name:Hillary Brooke, BirthYear:1914.
Star Details - Name:David Labiosa, BirthYear:.
Star Details - Name:Dean Martin, BirthYear:1917.
Star Details - Name:Alfonso Bedoya, BirthYear:1904.
Star Details - Name:Don Knotts, BirthYear:1924.
Star Details - Name:Deborah Raffin, BirthYear:1953.
Star Details - Name:Rosalind Russell, BirthYear:1908.
Star Details - Name:George Rose, BirthYear:1920.
Star Details - Name:Leo Rossi, BirthYear:.
Star Details - Name:Josette Day, BirthYear:1914.
Star Details - Name:Karen Morley, BirthYear:1905.
Star Details - Name:Kenneth Nelson, BirthYear:.
Star Details - Name:Mijanou Bardot, BirthYear:.
Star Details - Name:Clint Walker, BirthYear:1927.
Star Details - Name:Roy Glenister, BirthYear:.
Star Details - Name:Ken Murray, BirthYear:1903.
Star Details - Name:Rex OMalley, BirthYear:1901.
Star Details - Name:Pete Duel, BirthYear:1940.
Star Details - Name:Skip Young, BirthYear:.
Star Details - Name:Michael Pataki, BirthYear:.
Star Details - Name:Marika Green, BirthYear:.
Star Details - Name:John McMartin, BirthYear:.
Star Details - Name:Beverly Bonner, BirthYear:.
Star Details - Name:Phyllis Konstam, BirthYear:1907.
Star Details - Name:Arlene Golonka, BirthYear:.
Star Details - Name:Kathryn Walker, BirthYear:.
Star Details - Name:Rodney Dangerfield, BirthYear:.
Star Details - Name:Richard Dimbleby, BirthYear:.
Star Details - Name:Lolita Chammah, BirthYear:1983.
Star Details - Name:Mike Henry, BirthYear:1939.
Star Details - Name:Gene Evans, BirthYear:1922.
Star Details - Name:Lori Singer, BirthYear:.
Star Details - Name:Betty Stockfield, BirthYear:1905.
Star Details - Name:Horace Carpenter, BirthYear:.
Star Details - Name:Sheila Sim, BirthYear:1922.
Star Details - Name:Mary Ure, BirthYear:1933.
Star Details - Name:Rene Enriquez, BirthYear:1932.
Star Details - Name:Mike Kellin, BirthYear:1922.
Star Details - Name:MacLean Stevenson, BirthYear:.
Star Details - Name:Ann Gillis, BirthYear:1927.
Star Details - Name:Mary Wickes, BirthYear:1916.
Star Details - Name:James Doohan, BirthYear:.
Star Details - Name:Sam Kydd, BirthYear:1917.
Star Details - Name:Herbert Loom, BirthYear:.
Star Details - Name:Gene Autry, BirthYear:1907.
Star Details - Name:William Eythe, BirthYear:1918.
Star Details - Name:Greta Sacchi, BirthYear:.
Star Details - Name:Eileen Heckart, BirthYear:1919.
Star Details - Name:Vincent VanPatten, BirthYear:.
Star Details - Name:Ilona Massey, BirthYear:1912.
Star Details - Name:Emily Lloyd, BirthYear:.
Star Details - Name:Noble Willingham, BirthYear:.
Star Details - Name:Fernand Gavet, BirthYear:.
Star Details - Name:Joseph Calleia, BirthYear:1897.
Star Details - Name:Robert Urich, BirthYear:.
Star Details - Name:Dorothea Kent, BirthYear:.
Star Details - Name:Hilda Plowright, BirthYear:.
Star Details - Name:William Hawley, BirthYear:.
Star Details - Name:Maurice Chevalier, BirthYear:1888.
Star Details - Name:Hilary Mason, BirthYear:.
Star Details - Name:Olga Bellin, BirthYear:.
Star Details - Name:William Demarest, BirthYear:1892.
Star Details - Name:Bruce Brown, BirthYear:.
Star Details - Name:Minerva Urecal, BirthYear:1896.
Star Details - Name:Hildegarde Neil, BirthYear:1939.
Star Details - Name:Richard Carlson, BirthYear:.
Star Details - Name:Richard Murdoch, BirthYear:1907.
Star Details - Name:Kathleen Beller, BirthYear:1955.
Star Details - Name:Rudy Vallee, BirthYear:1901.
Star Details - Name:Bruce Dern, BirthYear:1936.
Star Details - Name:Lionel Jeffries, BirthYear:1926.
Star Details - Name:Tuesday Weld, BirthYear:1943.
Star Details - Name:Russ Mayberry, BirthYear:.
Star Details - Name:Gene Barry, BirthYear:1921.
Star Details - Name:Eric Brown, BirthYear:.
Star Details - Name:Ken Maynard, BirthYear:1895.
Star Details - Name:Alan Arkin, BirthYear:1934.
Star Details - Name:Louise Carver, BirthYear:1898.
Star Details - Name:Gail Lorber, BirthYear:.
Star Details - Name:Peter Coyote, BirthYear:.
Star Details - Name:Mindy Cohen, BirthYear:.
Star Details - Name:Michael Rennie, BirthYear:1909.
Star Details - Name:Arleen Whelan, BirthYear:1916.
Star Details - Name:Boris Karloff, BirthYear:1887.
Star Details - Name:Robert Vaughn, BirthYear:1932.
Star Details - Name:Fred Ward, BirthYear:.
Star Details - Name:Harry Houdini, BirthYear:1873.
Star Details - Name:George Maharis, BirthYear:1928.
Star Details - Name:Humphrey Bogart, BirthYear:1899.
Star Details - Name:Montagu Love, BirthYear:1877.
Star Details - Name:Peggy Cummins, BirthYear:.
Star Details - Name:Sen Yung, BirthYear:1915.
Star Details - Name:Roland Young, BirthYear:1887.
Star Details - Name:Megs Jenkins, BirthYear:1917.
Star Details - Name:G.D. Spradlin, BirthYear:.
Star Details - Name:Jeana Tomasina, BirthYear:.
Star Details - Name:Gila Golan, BirthYear:1940.
Star Details - Name:Robert Joy, BirthYear:.
Star Details - Name:Count Basie, BirthYear:.
Star Details - Name:C.Thomas Howell, BirthYear:1967.
Star Details - Name:Bill Quinn, BirthYear:.
Star Details - Name:Frank Silvera, BirthYear:1914.
Star Details - Name:Ralph Lynn, BirthYear:1882.
Star Details - Name:Edgar Kennedy, BirthYear:1890.
Star Details - Name:Richard Bennett, BirthYear:1873.
Star Details - Name:Jules Munshin, BirthYear:1915.
Star Details - Name:Sam Wanamaker, BirthYear:1919.
Star Details - Name:Lou Gossett~jr., BirthYear:.
Star Details - Name:Harry Terry, BirthYear:.
Star Details - Name:Daniel DayLewis, BirthYear:1957.
Star Details - Name:Andrew Duggan, BirthYear:1923.
Star Details - Name:Gene Lockhart, BirthYear:1891.
Star Details - Name:Steve Bassett, BirthYear:.
Star Details - Name:Sam Melville, BirthYear:.
Star Details - Name:Michele Lee, BirthYear:1942.
Star Details - Name:Herbert Marshall, BirthYear:1890.
Star Details - Name:Jill Clayburgh, BirthYear:1945.
Star Details - Name:Timothy Hutton, BirthYear:1960.
Star Details - Name:Jodi Thelen, BirthYear:.
Star Details - Name:Erin Gray, BirthYear:.
Star Details - Name:Arte Johnson, BirthYear:1934.
Star Details - Name:Barbara Shelley, BirthYear:1933.
Star Details - Name:Moira Shearer, BirthYear:1926.
Star Details - Name:Ivan Simpson, BirthYear:1875.
Star Details - Name:Gordon Harker, BirthYear:1885.
Star Details - Name:Elle MacPherson, BirthYear:1966.
Star Details - Name:Peggy Mount, BirthYear:1916.
Star Details - Name:John Gavin, BirthYear:1928.
Star Details - Name:Richard Quine, BirthYear:1920.
Star Details - Name:Gracie Allen, BirthYear:1902.
Star Details - Name:Bertice Reading, BirthYear:.
Star Details - Name:Christopher Hewett, BirthYear:.
Star Details - Name:Werner Klemperer, BirthYear:1919.
Star Details - Name:Robert Viharo, BirthYear:.
Star Details - Name:Chevy Chase, BirthYear:1949.
Star Details - Name:Vivienne Segal, BirthYear:1897.
Star Details - Name:Charles Lane, BirthYear:1899.
Star Details - Name:Julian Glover, BirthYear:1935.
Star Details - Name:LesleyAnne Down, BirthYear:1954.
Star Details - Name:Bob Cummings, BirthYear:1908.
Star Details - Name:Joe Besser, BirthYear:1916.
Star Details - Name:Richard Jaeckel, BirthYear:1926.
Star Details - Name:Kerry Mack, BirthYear:.
Star Details - Name:John Shea, BirthYear:.
Star Details - Name:Heath Lamberts, BirthYear:.
Star Details - Name:Warner Oland, BirthYear:1880.
Star Details - Name:Peter Matthey, BirthYear:.
Star Details - Name:Muriel Pavlow, BirthYear:1921.
Star Details - Name:Arthur Askey, BirthYear:1900.
Star Details - Name:Sidney Greenstreet, BirthYear:1879.
Star Details - Name:Tom Reese, BirthYear:1930.
Star Details - Name:Kathleen Miller, BirthYear:.
Star Details - Name:Kristina Wayborn, BirthYear:.
Star Details - Name:Jimmie Gleason, BirthYear:1886.
Star Details - Name:Priscilla Lane, BirthYear:1917.
Star Details - Name:Adelina Poerio, BirthYear:.
Star Details - Name:Sandy Mackendrick, BirthYear:1912.
Star Details - Name:Aubrey Woods, BirthYear:1928.
Star Details - Name:Eleanor Boardman, BirthYear:1898.
Star Details - Name:Danny Glover, BirthYear:1947.
Star Details - Name:Lynne Federicks, BirthYear:.
Star Details - Name:Valerie Kaprisky, BirthYear:.
Star Details - Name:Andy Warhol, BirthYear:1926.
Star Details - Name:Charlie Rich, BirthYear:1932.
Star Details - Name:May McAvoy, BirthYear:1901.
Star Details - Name:Norman Rossington, BirthYear:1928.
Star Details - Name:Nicky Henson, BirthYear:1945.
Star Details - Name:John Amos, BirthYear:.
Star Details - Name:Zachary Scott, BirthYear:1914.
Star Details - Name:Paula Kelly, BirthYear:.
Star Details - Name:Derek Nimmo, BirthYear:1931.
Star Details - Name:Henderson Forsythe, BirthYear:.
Star Details - Name:MaryLoise Parker, BirthYear:1960.
Star Details - Name:Massimo Troisi, BirthYear:1953.
Star Details - Name:Cliff Clark, BirthYear:1893.
Star Details - Name:Lionel Barrymore, BirthYear:1878.
Star Details - Name:Fred Williamson, BirthYear:1938.
Star Details - Name:David Carradine, BirthYear:1940.
Star Details - Name:Mary Duncan, BirthYear:1903.
Star Details - Name:Ernest Torrence, BirthYear:1878.
Star Details - Name:Ronee Blakley, BirthYear:1946.
Star Details - Name:Tyrone Power Snr, BirthYear:1869.
Star Details - Name:Emile Meyer, BirthYear:1903.
Star Details - Name:Jane Movak, BirthYear:.
Star Details - Name:George Carney, BirthYear:1887.
Star Details - Name:Thommy Bergren, BirthYear:.
Star Details - Name:Stafford Morgan, BirthYear:.
Star Details - Name:Martin Kosleck, BirthYear:1907.
Star Details - Name:Morgan Brittany, BirthYear:1953.
